,TITLE,PRICE,LOCATION,ROOM,AREA
72,Fenerbahçe'de koru manzaralı yenilenmiş 75 m2 2+1 daire,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
73,BAĞDAT CADDESİ PARALELİNDE GENÇ BİNADA 3+1 BAKIMLI DAİRE,5975000,"Suadiye, Kadıköy",2+1,95 m²
74,ŞAŞKINBAKKAL KIZILKAYALAR ARKASI 2+1 KONUT VE İŞYERİNE UYGUN,13950000,"Zühtüpaşa, Kadıköy",,212 m²
75,BOSTANCI KÖPRÜSÜNE CEPHE 11 DAİRE 4 DÜKKANLI KAT KARŞILIĞI BİNA,3750000,"Caferağa, Kadıköy",2+1,100 m²
76,CADDEBOSTAN SAHİLDE YENİ BİTECEK PROJEDE KATTA TEK 200 m 4+1,21500000,"Caddebostan, Kadıköy",4+2,300 m²
77,AYŞEKADIN ÜSTÜNDAĞ REZİDANS'TA HAVUZLU 3+1LÜX DAİRE (EBEVEYNLİ),8975000,"Suadiye, Kadıköy",3+1,130 m²
78,ŞAŞKINBAKKAL BAĞDATA YAKIN KOMPLE YENİLENMİŞ DAİRE 2+1 BALKONLU,7395000,"Erenköy, Kadıköy",3+1,165 m²
79,Çatalçeşme Sahil'de Yeni Bina'da Yenilenmiş 125m2 3+1,6650000,"Göztepe, Kadıköy",3+1,150 m²
80,Hasanpaşa'da 1+1 85m2 merkezi konumda Satılık Daire,4200000,"Koşuyolu, Kadıköy",,125 m²
81,,7000000,"Caferağa, Kadıköy",3+1,140 m²
82,SATILIK GÖZTEPE DENİZCİLER RECİDENCE 3+1,5250000,"Göztepe, Kadıköy",1+1,117 m²
83,FENERBAHÇE 3+1 HAVUZLU MERKEZİ KONUMDA SIFIR FIRSAT DAİRE,6280000,"Bostancı, Kadıköy",3+1,190 m²
84,FENERBAHÇE 3+1 HAVUZLU SIFIR FIRSAT DAİRE,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
85,ŞENESENEVLER MAHALLESİNDE SATILIK DÜKKAN,240000000,"Kozyatağı, Kadıköy",,4172 m²
86,,9950000,"Bostancı, Kadıköy",4+1,160 m²
87,KOŞUYOLU MERKEZDE HER İŞ KOLUNA UYGUN MÜSTAKİL SATILIK,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
88,Ziverbey Minibüs Yoluna Cephe 4+2 230 m2 geniş daire,13200000,"Suadiye, Kadıköy",4+2,230 m²
89,Caddebostan M.Reşitbelgesay sokak arsa payı yüksek şömineli 4+1,10300000,"Suadiye, Kadıköy",4+1,165 m²
90,SAHRAYICEDİT HİLTON ARKASINDA SATILIK FIRSAT 3+1 DAİRE,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
